SMILES,Tanimoto,Dice,russel_rao
CCC[S@](=O)c1ccc2c(c1)[nH]/c(=N/C(=O)OC)/[nH]2,0.08108108108108109,0.15,0.15
CCC(=O)O[C@]1(CC[NH+](C[C@@H]1CC=C)C)c2ccccc2,0.08496732026143791,0.1566265060240964,0.1566265060240964
C[C@@H](c1ccc(cc1)NCC(=C)C)C(=O)[O-],0.08695652173913043,0.16,0.16
C[C@H](Cc1ccccc1)[NH2+][C@@H](C#N)c2ccccc2,0.11724137931034483,0.20987654320987653,0.20987654320987653
C[C@@H](CC(c1ccccc1)(c2ccccc2)C(=O)N)[NH+](C)C,0.1506849315068493,0.2619047619047619,0.2619047619047619
Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)[C@H](C)[NH+](C)C,0.10666666666666667,0.1927710843373494,0.1927710843373494
c1ccc(cc1)[C@@H](C(=O)[O-])O,0.06201550387596899,0.11678832116788321,0.11678832116788321
CC[C@](C)(C[NH+](C)C)OC(=O)c1ccccc1,0.0851063829787234,0.1568627450980392,0.1568627450980392
COc1cc(c(c2c1OCO2)OC)CC=C,0.07042253521126761,0.13157894736842105,0.13157894736842105
Cc1ccccc1NC(=O)[C@H](C)[NH+]2CCCC2,0.09929078014184398,0.18064516129032257,0.18064516129032257
CC(=O)Oc1ccccc1C(=O)[O-],0.06766917293233082,0.1267605633802817,0.1267605633802817
C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,0.08441558441558442,0.15568862275449102,0.15568862275449102
c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl,0.07407407407407407,0.13793103448275862,0.13793103448275862
c1cc(ccc1C(=O)[O-])N[C@@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O,0.07432432432432433,0.13836477987421383,0.13836477987421383
C[C@@H](c1ccc2c(c1)nc(o2)c3ccc(cc3)Cl)C(=O)[O-],0.14482758620689656,0.25301204819277107,0.25301204819277107
CCc1c(c2ccccc2o1)C(=O)c3ccc(cc3)O,0.1310344827586207,0.23170731707317074,0.23170731707317074
c1ccc(cc1)C(=O)O[C@@H]2C[NH+]3CCC2CC3,0.08275862068965517,0.15286624203821655,0.15286624203821655
c1ccc(cc1)[C@@H](C(=O)c2ccccc2)O,0.11678832116788321,0.20915032679738563,0.20915032679738563
c1ccc(cc1)COC(=O)[C@H](c2ccccc2)O,0.11188811188811189,0.20125786163522014,0.20125786163522014
C[C@H](Cc1cc(c(cc1OC)Br)OC)[NH3+],0.06521739130434782,0.12244897959183673,0.12244897959183673
C[NH+](C)CCO[C@H](c1ccccc1)c2ccc(cc2)Br,0.1232876712328767,0.21951219512195122,0.21951219512195122
C[NH+](C)CC[C@@H](c1ccc(cc1)Br)c2ccccn2,0.13380281690140844,0.2360248447204969,0.2360248447204969
CCOc1ccc(cc1)NC(=O)C[C@@H](C)O,0.08633093525179857,0.15894039735099338,0.15894039735099338
CCc1cccc2c1oc(c2)[C@@H](C[NH2+]C(C)(C)C)O,0.10416666666666667,0.18867924528301888,0.18867924528301888
C[NH+]1CCc2cc3c(c-4c2[C@@H]1Cc5c4c(c(cc5)OC)O)OCO3,0.1282051282051282,0.22727272727272727,0.22727272727272727
CC(C)(C)[NH2+]C[C@H](COc1ccccc1C#N)O,0.08333333333333333,0.15384615384615385,0.15384615384615385
Cc1ccc(c(c1)OC[C@H](C[NH2+]C(C)(C)C)O)Cl,0.09154929577464789,0.16774193548387098,0.16774193548387098
CC[C@@H](c1ccc(cc1)c2ccccc2)C(=O)[O-],0.1366906474820144,0.24050632911392406,0.24050632911392406
C[NH+](C)CCO[C@@H](c1ccc(cc1)Cl)c2ccccn2,0.1310344827586207,0.23170731707317074,0.23170731707317074
CC(C)(C)[NH2+]C[C@H](COc1cccc2c1CCC(=O)N2)O,0.1,0.18181818181818182,0.18181818181818182
c1cc(ccc1OC[C@@H](CO)O)Cl,0.07518796992481203,0.13986013986013987,0.13986013986013987
c1cc(ccc1OC[C@@H](COC(=O)N)O)Cl,0.07857142857142857,0.1456953642384106,0.1456953642384106
C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[NH+](C)C,0.16901408450704225,0.2891566265060241,0.2891566265060241
c1ccc(cc1)C2(C[C@@H]2C3=[NH+]CCN3)c4ccccc4,0.1360544217687075,0.23952095808383234,0.23952095808383234
C[C@@H]([C@H](c1ccccc1)O)[NH+](C)C/C=C/c2ccccc2,0.12080536912751678,0.2155688622754491,0.2155688622754491
COc1ccc2c(c1)c(nc(=O)n2CC3CC3)c4ccccc4,0.17687074829931973,0.30057803468208094,0.30057803468208094
CN1c2ccc(cc2[C@@H]3c4ccccc4CC[NH+]3CC1=O)Cl,0.1643835616438356,0.2823529411764706,0.2823529411764706
c1c2c(cc(c1C3CCCCC3)Cl)[C@H](CC2)C(=O)[O-],0.07333333333333333,0.13664596273291926,0.13664596273291926
CC(C)(C)C(=O)[C@@H](n1ccnc1)Oc2ccc(cc2)Cl,0.13286713286713286,0.2345679012345679,0.2345679012345679
C[C@H](C[NH+](C)C)[C@@](C)(Cc1ccc(cc1)Cl)O,0.10144927536231885,0.18421052631578946,0.18421052631578946
Cc1c(cccc1Cl)Nc2c(cccn2)C(=O)OC[C@@H](CO)O,0.11038961038961038,0.19883040935672514,0.19883040935672514
CC(C)(C)[NH2+]C[C@@H](COc1cc(ccc1Cl)Cl)O,0.09154929577464789,0.16774193548387098,0.16774193548387098
CC(C)[NH2+]C[C@H](c1ccccc1Cl)O,0.07407407407407407,0.13793103448275862,0.13793103448275862
C[NH+](C)CC[C@@H]1c2ccc(cc2CCc3c1nccc3)Cl,0.14383561643835616,0.25149700598802394,0.25149700598802394
CN1CCc2cc3c(c(c2[C@H]1O)OC)OCO3,0.10714285714285714,0.1935483870967742,0.1935483870967742
C[C@@H](CN1c2ccccc2Sc3c1cc(cc3)C#N)C[NH+](C)C,0.13157894736842105,0.23255813953488372,0.23255813953488372
C[C@@H]1C[C@H](CC(C1)(C)C)OC(=O)[C@@H](c2ccccc2)O,0.087248322147651,0.16049382716049382,0.16049382716049382
c1ccc(cc1)[C@H]2C(=O)N=C(O2)NC3CC3,0.09285714285714286,0.16993464052287582,0.16993464052287582
CC[C@H](C(=O)[O-])C1(CCCCC1)O,0.0364963503649635,0.07042253521126761,0.07042253521126761
C[NH+](C)CCOC(=O)[C@H](c1ccccc1)C2(CCCC2)O,0.09210526315789473,0.1686746987951807,0.1686746987951807
C[NH+](C)CC(=O)N1c2ccccc2Sc3c1cccc3,0.1310344827586207,0.23170731707317074,0.23170731707317074
CC(C)[NH2+]C[C@H](c1ccc(cc1)O)O,0.09022556390977443,0.16551724137931034,0.16551724137931034
C[NH+]1Cc2cc(ccc2[C@@H](C1)c3ccc(c(c3)Cl)Cl)OC,0.14482758620689656,0.25301204819277107,0.25301204819277107
CC[NH+](CC)CC(=O)N1c2ccccc2Sc3c1cccc3,0.12582781456953643,0.2235294117647059,0.2235294117647059
CC[NH+](CC)[C@@H](C)C(=O)c1ccccc1,0.07246376811594203,0.13513513513513514,0.13513513513513514
CC[NH+](CC)[C@@H](C)C=C(c1cccs1)c2cccs2,0.08053691275167785,0.14906832298136646,0.14906832298136646
CC[C@@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](c3ccnc4c3cc(cc4)OC)O,0.13548387096774195,0.23863636363636365,0.23863636363636365
Cn1cnc2c1c(=O)n(c(=O)n2C)C[C@@H](CO)O,0.09154929577464789,0.16774193548387098,0.16774193548387098
Cc1c(=O)c2ccc(c(c2oc1c3ccccc3)C[NH+](C)C)OC,0.14473684210526316,0.25287356321839083,0.25287356321839083
CC(=O)Nc1ccc(cc1)C(=O)[O-],0.08396946564885496,0.15492957746478872,0.15492957746478872
C[C@@H]1C(=O)N(c2cc(ccc2O1)Cl)C[C@@H](CO)O,0.08333333333333333,0.15384615384615385,0.15384615384615385
C[C@](c1ccccc1)(c2ccccn2)OCC[NH+](C)C,0.14685314685314685,0.25609756097560976,0.25609756097560976
C[C@@](c1ccccc1)(c2ccc(cc2)Br)OCC[NH+](C)C,0.16901408450704225,0.2891566265060241,0.2891566265060241
CCc1ccc(cc1)C(=O)[C@H](C)C[NH+]2CCCCC2,0.1103448275862069,0.19875776397515527,0.19875776397515527
CC[NH+]1CCC[C@@H]1CNC(=O)C(c2ccccc2)(c3ccccc3)O,0.14743589743589744,0.2569832402234637,0.2569832402234637
CCN(CC)C(=O)c1ccc(c(c1)OC)O,0.07913669064748201,0.14666666666666667,0.14666666666666667
